Symptoms,Severity,,
Lump in breast with pain and skin dimpling,Severe,,
Mild seasonal allergy causing sneezing,Normal,,
Severe headache and vomiting for several days,Severe,,
Chronic cough with shortness of breath and fatigue,Severe,,
Memory loss and disorientation over weeks,Severe,,
Mild seasonal allergy causing sneezing,Normal,,
Light joint pain in rainy weather,Normal,,
Mild headache and nasal congestion,Normal,,
Persistent bone pain and night sweats,Severe,,
Mild headache and nasal congestion,Normal,,
Sudden paralysis on one side of the body,Severe,,
Loss of appetite and yellowing of eyes,Severe,,
Sudden paralysis on one side of the body,Severe,,
Persistent bone pain and night sweats,Severe,,
High fever with stiff neck and confusion,Severe,,
Severe chest pain radiating to left arm,Severe,,
Severe chest discomfort and breathlessness – possible heart attack,Severe,,
"Frequent urination, excessive thirst, and fatigue – possible diabetes",Severe,,
Chronic cough with shortness of breath and fatigue,Severe,,
Light joint pain in rainy weather,Normal,,
Chronic cough with shortness of breath and fatigue,Severe,,
Uncontrolled bleeding after minor cut,Severe,,
Chronic pain and stiffness in joints – possible rheumatoid arthritis,Severe,,
Light joint pain in rainy weather,Normal,,
Mild seasonal allergy causing sneezing,Normal,,
Sore throat and mild fever for 2 days,Normal,,
Minor fatigue after long work hours,Normal,,
"Unexplained abdominal pain, jaundice, and appetite loss – possible pancreatic cancer",Severe,,
Mild stomach pain after overeating,Normal,,
Lump in breast with pain and skin dimpling,Severe,,
Chronic cough with shortness of breath and fatigue,Severe,,
Light joint pain in rainy weather,Normal,,
Slight throat irritation after cold drinks,Normal,,
"Persistent fatigue, weight loss, and swollen lymph nodes – possible leukemia",Severe,,
Temporary dizziness after standing up,Normal,,
Occasional dry cough without fever,Normal,,
Low-grade fever with runny nose,Normal,,
Uncontrolled bleeding after minor cut,Severe,,
High fever with stiff neck and confusion,Severe,,
Lump in breast with pain and skin dimpling,Severe,,
Persistent cough with traces of blood,Severe,,
Low-grade fever with runny nose,Normal,,
Swelling in legs with difficulty urinating,Severe,,
"Severe headache, vomiting, and vision issues – possible brain tumor",Severe,,
Persistent headache with blurred vision and nausea,Severe,,
Light joint pain in rainy weather,Normal,,
Chronic cough with shortness of breath and fatigue,Severe,,
Mild headache and nasal congestion,Normal,,
Severe back pain and loss of bladder control,Severe,,
"Chronic cough, chest pain, and blood in sputum – possible lung cancer",Severe,,
Uncontrolled bleeding after minor cut,Severe,,
Sore throat and mild fever for 2 days,Normal,,
Mild seasonal allergy causing sneezing,Normal,,
Low-grade fever with runny nose,Normal,,
Severe headache and vomiting for several days,Severe,,
Persistent headache with blurred vision and nausea,Severe,,
Persistent bone pain and night sweats,Severe,,
Sudden paralysis on one side of the body,Severe,,
