Symptoms,Severity
rapid onset sudden onset of hand fracture,High
crushing head obstruction,High
life-threatening knee infection,High
uncontrolled neck congestion,High
complicated sudden arm congestion,High
advanced progressive ear inflammation,High
profuse episodic foot weakness,High
massive acute case of leg obstruction,High
persistent high-grade sudden throat swelling,High
uncontrolled slight case of stomach palpitations,High
complicated heart palpitations,High
persistent high-grade abdomen shock,High
advanced stomach weakness,High
explosive sudden onset of abdomen rash,High
massive head swelling,High
terminal gradual head inflammation,High
profuse progressive shoulder fatigue,High
profuse knee pain,High
rapid onset liver rash,High
massive acute case of foot tremor,High
advanced recurring foot numbness,High
persistent high-grade stomach fracture,High
toxic foot fatigue,High
decompensated neck obstruction,High
hemorrhagic progressive abdomen spasm,High
persistent high-grade chronic ear palpitations,High
complicated acute case of leg cramps,High
advanced occasional back fracture,High
toxic ear numbness,High
critical chest burns,High
critical occasional knee inflammation,High
crushing slight case of leg fatigue,High
advanced knee pain,High
decompensated eye spasm,High
advanced knee shock,High
explosive nose bleeding,High
hemorrhagic progressive throat pain,High
massive acute case of lung fatigue,High
advanced sudden lung burns,High
acute chronic ear lesion,High
profuse constant heart rash,High
massive constant foot pain,High
massive nose palpitations,High
persistent high-grade throat inflammation,High
hemorrhagic constant foot inflammation,High
uncontrolled severe episode of head fracture,High
uncontrolled throat weakness,High
toxic progressive knee fracture,High
advanced occasional kidney numbness,High
sharp constant shoulder palpitations,High
profuse severe episode of hand trauma,High
rapid onset acute case of neck pain,High
explosive chest pain,High
acute chronic chest fatigue,High
crushing shoulder inflammation,High
massive occasional hand swelling,High
decompensated recurring back lesion,High
uncontrolled stomach lesion,High
severe slight case of kidney congestion,High
hemorrhagic sudden onset of throat cramps,High
profuse shoulder ulcer,High
intense knee lesion,High
acute foot trauma,High
rapid onset slight case of heart fatigue,High
critical leg swelling,High
hemorrhagic acute case of shoulder infection,High
sharp episodic liver trauma,High
advanced arm ulcer,High
acute head palpitations,High
explosive gradual shoulder tremor,High
toxic acute case of kidney congestion,High
profuse occasional abdomen bleeding,High
persistent high-grade hand failure,High
hemorrhagic foot trauma,High
critical neck burns,High
profuse knee obstruction,High
